DateTime,Location,Transaction,Product,Amount
Oct-11-2016 07:47 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Oct-09-2016 04:25 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Oct-09-2016 04:19 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Oct-08-2016 11:27 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Oct-08-2016 11:21 PM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-2.1
Oct-04-2016 01:01 AM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Oct-04-2016 12:46 AM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-2.1
Oct-01-2016 12:52 AM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-01-2016 12:46 AM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Sep-30-2016 07:53 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Sep-30-2016 07:46 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Sep-26-2016 12:17 AM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Sep-26-2016 12:02 AM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Sep-23-2016 12:15 PM,Lonsdale Quay,Tap out at Lonsdale Quay,Stored Value,1.05
Sep-23-2016 11:44 AM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Sep-19-2016 11:31 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Sep-19-2016 11:24 PM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-2.1
Sep-13-2016 10:46 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Sep-13-2016 10:35 PM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-2.1
Sep-13-2016 07:19 PM,Olympic Village Stn,Tap out at Olympic Village Stn,Stored Value,0
Sep-13-2016 07:09 PM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-2.1
Sep-11-2016 01:10 AM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Sep-11-2016 01:02 AM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Sep-10-2016 07:29 PM,Stadium Stn,Tap out at Stadium Stn,Stored Value,0
Sep-10-2016 07:20 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Sep-09-2016 08:55 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Sep-09-2016 08:49 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Sep-01-2016 06:39 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Sep-01-2016 06:32 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Aug-04-2016 03:06 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Aug-04-2016 02:56 PM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-4.2
Aug-01-2016 08:22 PM,Commercial-Broadway Stn,Tap out at Commercial-Broadway Stn,Stored Value,0
Aug-01-2016 08:12 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jul-30-2016 09:12 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jul-30-2016 09:07 PM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-2.1
Jul-29-2016 10:24 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jul-29-2016 10:18 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Jul-29-2016 10:18 PM,Main Street Stn,Missing Tap out,Stored Value,0
Jul-29-2016 07:01 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jul-28-2016 05:05 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Jul-28-2016 05:04 PM,Waterfront Stn,Transfer at Waterfront Stn,Stored Value,-2.1
Jul-28-2016 04:19 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Jul-28-2016 04:06 PM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-4.2
Jul-26-2016 08:16 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Jul-26-2016 07:47 PM,YVR-Airport Stn,Tap in at YVR-Airport Stn,Stored Value,-7.1
